Frame,Emotion,Confidence (%)
1092,sad,85.980934
1094,sad,99.348274
1096,sad,99.34841
1098,sad,84.18615
1100,sad,99.351906
1102,sad,99.3518
1104,sad,88.95167
1106,sad,98.73503
1108,sad,98.841446
1110,sad,98.841446
1112,sad,99.53368
1114,sad,98.841446
1116,sad,98.841446
1118,sad,98.841446
1120,sad,99.53368
1122,sad,98.840904
1124,sad,98.843475
1126,sad,99.122635
1128,sad,97.890144
1130,sad,98.85839
1132,sad,93.535934
1134,sad,93.61791
1136,sad,93.49128
1138,sad,93.49128
1140,sad,98.874756
1142,sad,98.87552
1144,sad,98.87552
1146,sad,98.87552
1148,sad,98.874756
1150,sad,98.87552
1152,sad,98.87552
1154,sad,98.87552
1156,sad,98.874756
1158,sad,98.87552
1160,sad,98.87552
1162,sad,98.87552
1164,sad,98.874756
1166,sad,98.87552
1168,sad,98.87552
1170,sad,98.87552
1172,sad,98.874756
1174,sad,98.87552
1176,sad,98.87552
1178,sad,94.81924
1180,sad,95.29768
1182,sad,96.39589
1184,sad,91.83501
1186,sad,89.87987
1188,sad,97.60344
1190,sad,89.88137
1192,sad,89.87303
1194,sad,89.881485
1196,sad,89.87335
1198,sad,89.88169
1200,sad,89.87335
1202,sad,89.88169
1204,sad,89.87335
1206,sad,89.88169
1208,sad,89.87335
1210,sad,87.62944
1212,sad,87.62944
1214,sad,97.71411
1216,sad,87.12265
1218,sad,86.40997
1220,sad,95.36265
1222,sad,95.4168
1224,sad,95.42272
1226,sad,97.566635
1228,sad,86.635895
1230,sad,97.95462
1232,sad,97.579384
1234,sad,97.9786
1236,sad,97.97856
1238,sad,97.56516
1240,sad,97.58276
1242,sad,97.565346
1244,sad,97.97825
1246,sad,97.56492
1248,sad,97.57708
1250,sad,97.12395
1252,sad,96.97923
1254,sad,97.12821
1256,sad,97.12821
1258,sad,97.12821
1260,sad,96.85639
1262,sad,97.112144
1264,sad,97.915085
1266,sad,97.79309
1268,sad,98.402824
1270,sad,97.79311
1272,sad,98.40307
1274,sad,98.51242
1276,sad,98.52177
1278,sad,98.51385
1280,sad,98.52175
1282,sad,98.51243
1284,sad,98.52175
1286,sad,98.51385
1288,sad,98.52175
1290,sad,98.51243
1292,sad,95.31851
1294,sad,98.70416
1296,sad,98.98304
1298,sad,98.69675
1300,sad,88.83092
1302,sad,98.167336
1304,sad,98.65359
1306,sad,98.69531
1308,sad,96.21584
1310,sad,98.1641
1312,sad,96.21584
1314,sad,98.69531
1316,sad,96.21584
1318,sad,98.1641
1320,sad,96.21585
1322,sad,97.47844
1324,sad,96.21585
1326,sad,98.1641
1328,sad,99.27644
1330,sad,38.116936
1332,sad,43.73811
1334,sad,66.164055
1336,sad,88.87646
1338,sad,88.83356
1340,sad,88.8332
1342,sad,88.8332
1344,sad,88.8332
1346,sad,88.83356
1348,sad,88.8332
1350,sad,88.8332
1352,sad,88.8332
1354,sad,88.83356
1356,sad,88.8332
1358,sad,88.8332
1360,sad,65.751755
1362,sad,64.80158
1364,sad,94.635315
1366,sad,94.65106
1368,sad,61.94044
1370,sad,61.942024
1372,sad,61.942024
1374,sad,61.943573
1376,sad,61.943573
1378,sad,61.943573
1380,sad,61.943573
1382,sad,61.943573
1384,sad,61.943573
1386,sad,61.943573
1388,sad,61.94132
1390,sad,61.94132
1392,sad,61.94132
1394,sad,61.943573
1396,sad,61.943573
1398,sad,61.943573
1400,sad,61.943573
1402,sad,61.943573
1404,sad,61.943573
1406,sad,61.943573
1408,sad,61.943573
1410,sad,61.943573
1412,sad,99.794586
1414,sad,98.92778
1416,sad,98.89057
1418,sad,99.90343
1420,sad,99.90472
1422,sad,99.904236
1424,sad,99.90424
1426,sad,98.46321
1428,sad,99.90424
1430,sad,99.904236
1432,sad,99.90421
1434,sad,99.90421
1436,sad,99.90421
1438,sad,99.904236
1440,sad,99.904236
1442,sad,99.904236
1444,sad,99.904236
1446,sad,99.904236
1448,sad,99.904236
1450,sad,99.904236
1452,sad,99.904236
1454,sad,99.904236
1456,sad,99.904236
1458,sad,99.904236
1460,sad,99.67274
1462,sad,99.67274
1464,sad,80.191
1466,sad,99.92488
1468,sad,99.92557
1470,sad,99.92475
1472,sad,99.92424
1474,sad,99.92533
1476,sad,99.92533
1478,sad,99.92533
1480,sad,99.92533
1482,sad,99.92533
1484,sad,99.92533
1486,sad,99.92533
1488,sad,99.92533
1490,sad,99.92533
1492,sad,99.746414
1494,sad,92.55163
1496,sad,95.91077
1498,sad,97.51885
1500,sad,99.30252
1502,sad,99.42976
1504,sad,95.24767
1506,sad,98.09784
1508,sad,98.09784
1510,sad,98.096466
1512,sad,98.09884
1514,sad,98.09884
1516,sad,95.23731
1518,sad,95.23731
1520,sad,95.23731
1522,sad,95.23731
1524,sad,95.23731
1526,sad,95.23731
1528,sad,98.515594
1530,sad,97.82978
1532,sad,97.94169
1534,sad,97.9413
1536,sad,97.9413
1538,sad,97.9413
1540,sad,97.9413
1542,sad,97.9413
1544,sad,97.9413
1546,sad,97.9413
1548,sad,97.9413
1550,sad,97.94251
1552,sad,96.62016
1554,sad,96.62016
1556,sad,96.62016
1558,sad,99.199585
1560,sad,94.04677
1562,sad,98.27747
1564,sad,93.80004
1566,sad,93.78893
1568,sad,93.84827
1570,sad,93.84827
1572,sad,93.848236
1574,sad,93.84827
1576,sad,93.84827
1578,sad,93.84827
1580,sad,93.848236
1582,sad,93.84827
1584,sad,93.84827
1586,sad,93.84827
1588,sad,93.848236
1590,sad,93.84827
1592,sad,93.84827
1594,sad,93.84827
1596,sad,93.848236
1598,sad,93.848236
1600,sad,93.848236
1602,sad,93.848236
1604,sad,93.848236
1606,sad,93.848236
1608,sad,93.848236
1610,sad,92.98892
1612,sad,92.98892
1614,sad,93.10963
1616,sad,92.872475
1618,sad,91.58629
1620,sad,91.546646
1622,sad,91.53947
1624,sad,91.61478
1626,sad,91.607414
1628,sad,91.64359
1630,sad,91.60743
1632,sad,68.454056
1634,sad,91.60743
1636,sad,91.64359
1638,sad,91.60743
1640,sad,91.60521
1642,sad,68.25695
1644,sad,96.98814
1646,sad,97.0349
1648,fear,63.16007
1650,sad,96.921
1652,sad,96.90328
1654,sad,96.915924
1656,sad,96.90295
1658,sad,96.915924
1660,fear,50.35308
1662,sad,96.913895
1664,fear,50.35308
1666,sad,96.913895
1668,fear,50.35308
1670,sad,96.913895
1672,fear,50.35308
1674,fear,50.35308
